noms_ms.lo.m,noms_ms.lo.f,noms_ms.hi.m,noms_ms.hi.f,ms_noms.lo.m,ms_noms.lo.f,ms_noms.hi.m,ms_noms.hi.f
1,0.693877551,0.428571429,0.295918367,13.67012987,13.4987013,16.16883117,16.00779221
1.232142857,0.857142857,0.530612245,0.367346939,15.03116883,14.86493506,17.42857143,17.27532468
1.757653061,1.229591837,0.765306122,0.530612245,14.08831169,13.91948052,16.56363636,16.40519481
1.890306122,1.323979592,0.826530612,0.571428571,11.80519481,11.63636364,14.36103896,14.19220779
2.492346939,1.760204082,1.107142857,0.767857143,10.47012987,10.30649351,13.0025974,12.83116883
3.045918367,2.168367347,1.369897959,0.954081633,10.44935065,10.28571429,12.97922078,12.81038961
3.308673469,2.362244898,1.5,1.045918367,10.45714286,10.29350649,12.98961039,12.81818182
3.369897959,2.408163265,1.528061224,1.066326531,10.53506494,10.37142857,13.07012987,12.8987013
3.839285714,2.760204082,1.762755102,1.232142857,10.3012987,10.13766234,12.82597403,12.65454545
3.913265306,2.816326531,1.798469388,1.260204082,11.44155844,11.27272727,13.9974026,13.82857143
