noms_ms.lo.m,noms_ms.lo.f,noms_ms.hi.m,noms_ms.hi.f,ms_noms.lo.m,ms_noms.lo.f,ms_noms.hi.m,ms_noms.hi.f
0.964285714,0.668367347,0.428571429,0.295918367,13.81298701,13.64155844,16.16883117,16.00779221
1.18877551,0.826530612,0.530612245,0.367346939,15.16883117,15.0025974,17.42857143,17.27532468
1.696428571,1.18622449,0.765306122,0.530612245,14.23116883,14.06233766,16.56363636,16.40519481
1.823979592,1.278061224,0.826530612,0.571428571,11.94545455,11.77662338,14.36103896,14.19220779
2.408163265,1.698979592,1.107142857,0.767857143,10.60779221,10.44415584,13.0025974,12.83116883
2.946428571,2.094387755,1.369897959,0.954081633,10.58701299,10.42077922,12.97922078,12.81038961
3.201530612,2.283163265,1.5,1.045918367,10.59480519,10.42857143,12.98961039,12.81818182
3.260204082,2.326530612,1.528061224,1.066326531,10.67272727,10.50649351,13.07012987,12.8987013
3.716836735,2.668367347,1.762755102,1.232142857,10.43636364,10.27272727,12.82597403,12.65454545
3.790816327,2.721938776,1.798469388,1.260204082,11.58181818,11.41298701,13.9974026,13.82857143
