noms_ms.lo.m,noms_ms.lo.f,noms_ms.hi.m,noms_ms.hi.f,ms_noms.lo.m,ms_noms.lo.f,ms_noms.hi.m,ms_noms.hi.f
0.982142857,0.681122449,0.428571429,0.295918367,13.75584416,13.58441558,16.16883117,16.00779221
1.211734694,0.841836735,0.530612245,0.367346939,15.11428571,14.94805195,17.42857143,17.27532468
1.727040816,1.209183673,0.765306122,0.530612245,14.17402597,14.00519481,16.56363636,16.40519481
1.857142857,1.301020408,0.826530612,0.571428571,11.88831169,11.71948052,14.36103896,14.19220779
2.451530612,1.732142857,1.107142857,0.767857143,10.55324675,10.38961039,13.0025974,12.83116883
2.99744898,2.130102041,1.369897959,0.954081633,10.52987013,10.36623377,12.97922078,12.81038961
3.257653061,2.323979592,1.5,1.045918367,10.53766234,10.37402597,12.98961039,12.81818182
3.316326531,2.367346939,1.528061224,1.066326531,10.61818182,10.45194805,13.07012987,12.8987013
3.780612245,2.714285714,1.762755102,1.232142857,10.38181818,10.21818182,12.82597403,12.65454545
3.854591837,2.770408163,1.798469388,1.260204082,11.52467532,11.35584416,13.9974026,13.82857143
