noms_ms.lo.m,noms_ms.lo.f,noms_ms.hi.m,noms_ms.hi.f,ms_noms.lo.m,ms_noms.lo.f,ms_noms.hi.m,ms_noms.hi.f
0.977040816,0.676020408,0.428571429,0.295918367,13.73246753,13.56103896,16.16883117,16.00779221
1.204081633,0.836734694,0.530612245,0.367346939,15.09350649,14.92467532,17.42857143,17.27532468
1.716836735,1.201530612,0.765306122,0.530612245,14.15064935,13.98181818,16.56363636,16.40519481
1.849489796,1.295918367,0.826530612,0.571428571,11.86753247,11.6987013,14.36103896,14.19220779
2.441326531,1.721938776,1.107142857,0.767857143,10.52987013,10.36623377,13.0025974,12.83116883
2.982142857,2.119897959,1.369897959,0.954081633,10.50909091,10.34545455,12.97922078,12.81038961
3.242346939,2.31122449,1.5,1.045918367,10.51688312,10.35324675,12.98961039,12.81818182
3.301020408,2.354591837,1.528061224,1.066326531,10.59480519,10.43116883,13.07012987,12.8987013
3.762755102,2.701530612,1.762755102,1.232142857,10.36103896,10.1974026,12.82597403,12.65454545
3.834183673,2.755102041,1.798469388,1.260204082,11.5038961,11.33506494,13.9974026,13.82857143
