noms_ms.lo.m,noms_ms.lo.f,noms_ms.hi.m,noms_ms.hi.f,ms_noms.lo.m,ms_noms.lo.f,ms_noms.hi.m,ms_noms.hi.f
0.869897959,0.602040816,0.428571429,0.295918367,14.03116883,13.86233766,16.16883117,16.00779221
1.073979592,0.744897959,0.530612245,0.367346939,15.38441558,15.21818182,17.42857143,17.27532468
1.535714286,1.071428571,0.765306122,0.530612245,14.44935065,14.28051948,16.56363636,16.40519481
1.653061224,1.155612245,0.826530612,0.571428571,12.16623377,11.9974026,14.36103896,14.19220779
2.18622449,1.538265306,1.107142857,0.767857143,10.82077922,10.65714286,13.0025974,12.83116883
2.681122449,1.897959184,1.369897959,0.954081633,10.8,10.63376623,12.97922078,12.81038961
2.915816327,2.071428571,1.5,1.045918367,10.80779221,10.64155844,12.98961039,12.81818182
2.969387755,2.109693878,1.528061224,1.066326531,10.88571429,10.72207792,13.07012987,12.8987013
3.392857143,2.423469388,1.762755102,1.232142857,10.64935065,10.48571429,12.82597403,12.65454545
3.459183673,2.474489796,1.798469388,1.260204082,11.8,11.63116883,13.9974026,13.82857143
