noms_ms.lo.m,noms_ms.lo.f,noms_ms.hi.m,noms_ms.hi.f,ms_noms.lo.m,ms_noms.lo.f,ms_noms.hi.m,ms_noms.hi.f
0.941326531,0.650510204,0.428571429,0.295918367,13.74285714,13.57142857,16.16883117,16.00779221
1.160714286,0.806122449,0.530612245,0.367346939,15.1012987,14.93506494,17.42857143,17.27532468
1.655612245,1.155612245,0.765306122,0.530612245,14.16103896,13.99220779,16.56363636,16.40519481
1.780612245,1.24744898,0.826530612,0.571428571,11.87792208,11.70649351,14.36103896,14.19220779
2.352040816,1.658163265,1.107142857,0.767857143,10.54025974,10.37662338,13.0025974,12.83116883
2.880102041,2.043367347,1.369897959,0.954081633,10.51948052,10.35324675,12.97922078,12.81038961
3.130102041,2.229591837,1.5,1.045918367,10.52727273,10.36103896,12.98961039,12.81818182
3.18622449,2.270408163,1.528061224,1.066326531,10.60519481,10.44155844,13.07012987,12.8987013
3.635204082,2.604591837,1.762755102,1.232142857,10.36883117,10.20779221,12.82597403,12.65454545
3.706632653,2.658163265,1.798469388,1.260204082,11.51428571,11.34545455,13.9974026,13.82857143
